Num,ClusterLabelK11_Takahashietal2019,Code,Lon,Lat,Ve_wrt_S01R,Vn_wrt_S01R,sVe,sVn
271,10,WANS,120.88519,23.6075,-30.19255919,12.81598101,0.4,0.3
266,10,S105,121.11289,22.95165,-30.99798446,13.22176083,0.4,0.3
262,10,KUAN,121.16425,23.04968,-30.55899757,14.90461899,0.7,0.6
259,10,HLIU,120.99417,23.79303,-31.96499649,14.49996549,0.7,0.7
255,10,CHUL,121.12568,23.13236,-32.40561329,14.49573134,0.7,0.4
270,10,TMAL,120.95987,22.64892,-34.04481922,11.39123716,0.7,0.6
256,10,DASI,120.94441,22.47842,-36.04504197,11.71174409,3.4,2
260,10,HRGN,121.4051,23.55528,-39.4820543,30.51519931,0.5,0.4
257,10,DNFU,121.48228,23.68512,-36.99210816,27.17340491,0.9,0.7
272,10,YENL,121.60184,23.9035,-25.31516127,27.53003106,0.5,0.8
268,10,SHUL,121.56273,23.78761,-28.68161239,32.30487751,0.5,0.4
