Code,Site_name,PlateName,Type,lon,lat,Eastward[mm/a],Northward[mm/a],Error_east,Error_north,Error_east2,Error_north1
GOUG,30608M001,Nazca,P,350.119,-40.349,21.1,18.51,0.11,0.12,0.008,0.419
RBAY,30315M001,Nazca,P,32.078,-28.796,16.28,17.59,0.073,0.072,0.21,-0.104
SIMO,30307M001,Nazca,P,18.44,-34.188,16.49,19.31,0.104,0.107,-0.355,0.412
DRBN,30328M001,Nazca,P,30.947,-29.965,16.17,16.87,0.394,0.372,0.274,-0.961
SUTH,30314M002,Nazca,P,20.81,-32.38,16.8,18.92,0.031,0.028,-0.101,0.149
OUAG,33101M001,Nazca,P,358.488,12.356,21.18,18.59,0.122,0.1,-0.145,-0.071
YKRO,32601M001,Nazca,P,354.76,6.871,21.77,18.23,0.042,0.035,-0.096,-0.231
RABT,35001M002,Nazca,P,353.146,33.998,16.33,17.96,0.033,0.033,0.278,-0.087
BJCO,32701M001,Nazca,P,2.45,6.385,22.11,18.53,0.055,0.044,-0.026,-0.361
BJKA,32704M001,Nazca,P,2.928,11.125,21.52,18.46,0.071,0.059,-0.205,-0.401
STHL,30606M003,Nubia,P,354.333,-15.943,22.82,18.4,0.044,0.036,-0.128,-0.136
AGUI,31322M001,Nubia,P,344.554,27.904,15.88,17.74,0.152,0.142,-0.67,0.525
NKLG,32809M002,Nubia,DP,9.672,0.354,22.27,19.05,0.039,0.032,-0.181,0.003
DRBA,30327M001,Nubia,P,31.023,-29.851,16.28,17.69,0.146,0.134,0.368,-0.134
MAUA,34701M002,Nubia,P,23.528,-19.902,19.92,18.68,0.125,0.111,0.473,0.121
MONG,34602M001,Nubia,P,23.151,-15.254,20.81,19.33,0.19,0.158,0.429,0.759
HNUS,30322M001,Nubia,P,19.223,-34.425,16.55,19.03,0.06,0.063,-0.091,0.176
SBOK,30320M001,Nubia,P,17.879,-29.669,17.92,19.03,0.064,0.062,-0.149,0.094
ULDI,30318M001,Nubia,P,31.421,-28.293,16.48,17.77,0.072,0.071,0.163,0.001
DEAR,30316M001,Nubia,P,23.993,-30.665,16.71,18.67,0.063,0.063,-0.105,0.135
ZAMB,34601M001,Nubia,P,28.311,-15.426,20.03,18.39,0.047,0.04,0.146,0.292
GRAF,31327M001,Nubia,P,343.732,28.454,16.02,17.27,0.28,0.271,-0.252,0.171
MAS1,31303M002,Nubia,P,344.367,27.764,16.54,17.21,0.034,0.032,-0.02,0.019
ELDA,30329M001,Nubia,P,27.833,-33.037,15.23,18.19,0.16,0.155,-0.262,0.019
FUER,31330M001,Nubia,P,346.14,28.499,16.33,17.42,0.176,0.158,-0.255,0.021
PLBA,30330M001,Nubia,P,25.611,-33.984,15.79,18.55,0.266,0.259,0.185,0.16
WIND,31101M001,Nubia,P,17.089,-22.575,20.02,19.26,0.084,0.074,0.326,0.285
JCTW,30305M001,Nubia,P,18.469,-33.951,16.75,18.12,0.199,0.194,-0.152,-0.781
DATG,34107M002,Nubia,P,342.58,14.676,19.26,16.73,0.755,0.633,-0.603,-0.345
DAKA,34101S004,Nubia,DP,342.567,14.732,19.72,17.51,2.537,1.13,-0.129,0.434
SALB,39601S002,Nubia,P,337.065,16.732,19.23,16.08,0.688,0.548,0.28,-0.145
KWJ1,50506M001,Pacific,P,167.73,8.722,-69.06,29.5,0.258,0.197,0.061,0.53
HILO,49979S001,Pacific,P,204.947,19.719,-62.59,35.38,0.09,0.08,-0.362,0.64
LHUE,49980S001,Pacific,P,200.661,21.985,-61.71,34.47,0.175,0.164,0.491,-0.328
MAUI,40445S008,Pacific,LP,203.743,20.707,-62.05,34.59,0.028,0.025,0.043,-0.208
KOK1,49896S001,Pacific,P,200.242,21.983,-62.18,35.36,0.808,0.673,0.118,0.569
UPO1,49895S001,Pacific,P,204.116,20.246,-62.65,34.79,0.846,0.713,-0.468,0.025
CKIS,50213M003,Pacific,P,200.199,-21.201,-62.62,34.95,0.067,0.058,-0.577,0.5
CHAT,50207M001,Pacific,DP,183.434,-43.956,-40.66,32.94,0.043,0.048,0.397,0.473
MCIL,21789S001,Pacific,P,153.979,24.29,-71.63,23.67,0.057,0.057,-0.147,0.042
POHN,51601M001,Pacific,P,158.21,6.96,-70.19,24.89,0.328,0.275,-0.787,-0.55
CHTI,50242M001,Pacific,DP,183.383,-43.735,-40.98,32.74,0.043,0.048,0.265,0.277
TBTG,92401M002,Pacific,P,210.524,-23.342,-64.16,34.12,0.119,0.104,-0.773,0.111
NAUR,50701M001,Pacific,P,166.926,-0.552,-67.08,28.75,0.111,0.093,-0.219,0.09
TUVA,51101M001,Pacific,P,179.197,-8.525,-65.13,32.37,0.121,0.097,-0.788,0.303
MKTG,92509M001,Pacific,P,216.431,-16.627,-67.4,33.46,0.388,0.308,-1.017,0.087
MAJU,51501M001,Pacific,P,171.365,7.119,-69.02,30.39,0.124,0.102,-0.405,0.278
7298,40424S007,Pacific,DPR,200.335,22.127,-62.36,34.68,0.054,0.05,-0.125,-0.117
7617,40477S001,Pacific,PR,204.544,19.801,-62.72,34.62,0.166,0.16,-0.407,-0.157
7124,92201M007,Pacific,P,210.394,-17.577,-65.92,34.23,0.156,0.149,-0.719,0.13
RIMB,92301S004,Pacific,DP,225.035,-23.13,-67.38,31.29,0.66,0.438,-0.828,-0.326
ASC1,30602M001,S. America,DP,345.588,-7.951,-4.94,11.05,0.072,0.059,0.219,-0.188
BRAZ,41606M001,S. America,P,312.122,-15.947,-4.01,12.49,0.052,0.047,-0.13,-0.061
POAL,41616M001,S. America,P,308.88,-30.074,-2.4,12.16,0.09,0.093,0.442,-0.218
SALV,41618M001,S. America,P,321.488,-13.009,-3.92,12,0.191,0.163,0.513,-0.596
CUIB,41603M001,S. America,P,303.93,-15.555,-2.97,11.93,0.069,0.06,0.476,-0.328
MPLA,41521M001,S. America,P,302.469,-38.036,-0.51,12.25,0.624,0.672,0.961,0.242
LKTH,80601S001,S. America,P,302.149,-51.698,0.4,12.45,0.438,0.541,0.501,0.616
VBCA,41512M001,S. America,P,297.731,-38.701,-0.38,11.01,0.167,0.183,0.457,-0.68
NEIA,41620M002,S. America,P,312.075,-25.02,-3.42,12.46,0.167,0.165,0.031,-0.043
NAUS,41614M002,S. America,P,299.945,-3.023,-4.01,11.83,0.105,0.091,0.163,-0.257
MAPA,41629M001,S. America,P,308.903,0.047,-4.37,12.46,0.155,0.138,-0.021,-0.049
BELE,41622M001,S. America,P,311.537,-1.409,-4.52,12.76,0.099,0.085,-0.201,0.191
RECF,41617M001,S. America,P,325.048,-8.051,-4.6,12.45,0.153,0.125,-0.06,-0.078
BOMJ,41612M001,S. America,P,316.578,-13.256,-5.15,11.9,0.087,0.08,-0.955,-0.71
BOAV,41636M001,S. America,P,299.299,2.845,-4.47,11.9,0.072,0.059,0.072,-0.156
RIOB,41645M001,S. America,P,292.197,-9.965,-2.91,11.17,0.154,0.121,0.536,-0.3
SAVO,41643M001,S. America,P,321.568,-12.939,-4.57,12.54,0.043,0.037,-0.138,-0.053
SAGA,41639M001,S. America,P,292.942,-0.144,-4.34,11.32,0.122,0.11,0.028,-0.262
MSCG,41649M001,S. America,P,305.459,-20.441,-2.51,12.95,0.072,0.066,0.696,0.643
PEPE,41650M001,S. America,P,319.494,-9.384,-4.69,12.71,0.112,0.102,-0.321,0.091
TOPL,41648M001,S. America,P,311.669,-10.171,-4.47,12.39,0.144,0.126,-0.396,-0.169
POVE,41628M001,S. America,P,296.104,-8.709,-3.59,11.83,0.08,0.065,0.083,0.033
MGMC,41624M002,S. America,P,316.142,-16.716,-4,13.03,0.064,0.058,0.077,0.427
GOJA,41654M001,S. America,P,308.274,-17.883,-3.3,12.52,0.137,0.123,0.255,0.083
SALU,41640M001,S. America,P,315.788,-2.593,-4.18,12.81,0.109,0.097,0.15,0.186
MGBH,41667M001,S. America,P,316.075,-19.942,-4.44,12.25,0.147,0.141,-0.46,-0.337
CAYN,97302M002,S. America,P,307.69,4.949,-4.73,13,0.521,0.403,-0.224,0.534
MTCO,41670M001,S. America,P,304.544,-10.804,-3.85,12.46,0.073,0.062,-0.071,0.153
IQUI,42204M001,S. America,P,286.731,-3.767,-3.65,10.58,0.161,0.124,0.348,-0.386
CEFE,41637M001,S. America,P,319.681,-20.311,-4.28,12.44,0.098,0.089,-0.048,-0.149
BABR,41684M001,S. America,P,315.005,-12.15,-3.97,12.43,0.098,0.087,0.172,-0.173
MGUB,41652M001,S. America,P,311.744,-18.919,-3.78,12.33,0.073,0.066,-0.056,-0.198
PPTE,41611M002,S. America,P,308.591,-22.12,-3.02,12.27,0.122,0.112,0.309,-0.15
UFPR,41610M002,S. America,P,310.769,-25.448,-3.52,12.55,0.05,0.048,-0.213,0.079
MGIN,41647M001,S. America,P,313.672,-22.319,-3.92,12.79,0.062,0.058,-0.212,0.245
ROCD,41679M001,S. America,P,299.456,-13.122,-3.6,12.02,0.21,0.175,-0.177,0.003
PAIT,41685M001,S. America,P,303.964,-4.288,-4.26,12.98,0.372,0.3,-0.121,0.68
KOUG,97301M402,S. America,DP,307.36,5.098,-4.63,12.59,0.048,0.04,-0.12,0.136
CRAT,41619M001,S. America,P,320.584,-7.238,-4.75,12.32,0.17,0.129,-0.348,-0.289
IMPZ,41615M001,S. America,P,312.503,-5.492,-4.21,12.73,0.087,0.074,0.027,0.143
ONRJ,41635M001,S. America,P,316.776,-22.896,-4.13,12.35,0.083,0.077,-0.199,-0.228
IMBT,41638M001,S. America,P,311.344,-28.235,-3.64,12.09,0.248,0.233,-0.434,-0.376
AMTE,48091M001,S. America,P,295.293,-3.346,-3.91,11.83,0.298,0.239,0.2,0.067
IRYL,97309M001,S. America,P,307.413,5.285,-4.66,12.6,0.231,0.185,-0.143,0.142
FALK,80602M001,S. America,P,302.126,-51.694,0.15,12.63,0.058,0.074,0.248,0.795
RNNA,41668M001,S. America,P,324.792,-5.836,-4.66,12.4,0.15,0.13,-0.165,-0.13
CEFT,41682M001,S. America,P,321.527,-3.711,-5.16,12.42,0.637,0.505,-0.758,-0.178
MTSR,41689M001,S. America,P,304.273,-12.545,-4.45,12.89,0.216,0.181,-0.787,0.598
CHAC,41553M001,S. America,P,301.04,-27.42,-2.33,11.48,0.143,0.139,-0.033,-0.537
SMAR,41621M001,S. America,P,306.283,-29.719,-2.5,12.05,0.144,0.147,0.102,-0.222
YEMA,41569M001,S. America,P,298.763,-24.281,-2.81,11.1,0.205,0.191,-0.408,-0.792
UYMO,42301M001,S. America,P,303.74,-34.888,-2.81,11.74,0.302,0.304,-0.902,-0.365
MTV2,42323S001,S. America,P,303.824,-34.914,-2.66,11.61,0.155,0.173,-0.744,-0.501
SPTU,48085M001,S. America,P,309.508,-21.929,-2.64,12.83,0.227,0.199,0.766,0.38
UYTA,42302M001,S. America,P,304.062,-31.683,-2.64,11.66,0.302,0.339,-0.416,-0.489
AGGO,41596M001,S. America,PR,301.86,-34.874,-2.61,11.55,0.203,0.21,-0.914,-0.447
7297,41602S001,S. America,PR,321.574,-3.878,-4.35,12.39,0.062,0.064,0.052,-0.205
7407,48081S001,S. America,L,312.135,-15.773,-4.21,11.69,1.246,1.103,-0.329,-0.861
CACB,41609S001,S. America,DP,314.998,-22.683,-3.7,12.59,0.478,0.431,0.101,0.022
SEY1,39801M001,Somalia,P,55.479,-4.674,24.8,11.49,0.053,0.046,-0.132,0.176
ABPO,33302M001,Somalia,P,47.229,-19.018,18.8,14.36,0.071,0.063,-0.606,0.233
MTVE,30906M001,Somalia,P,40.166,-10.26,22.72,15.52,0.319,0.254,-0.727,-0.672
MAL2,33201M003,Somalia,P,40.194,-2.996,26.27,15.93,0.051,0.043,0.402,-0.2
MAYG,90101M001,Somalia,P,45.258,-12.782,21.59,14.55,0.183,0.149,-0.601,-0.151
REUB,97401S002,Somalia,DP,55.572,-21.208,18.27,11.73,0.21,0.173,0.552,0.355
