Label,Num,Site,lon,lat,East,North
0,0,JYAN,121.22634,24.24247,-9.17299109,17.77234465
1,2,SUAO,121.86707,24.59239,19.92935551,-24.52306646
1,1,SUAB,121.8679,24.59391,19.89490692,-25.19132149
2,4,S102,121.55815,22.03721,-68.80039884,48.71339774
2,3,LANY,121.5581,22.03731,-68.96235748,45.64518869
3,8,NEMN,120.42008,22.90812,-37.98955715,-4.866574509
3,7,GS53,120.39831,22.83998,-41.50671607,-7.61790793
3,6,CTOU,120.27784,22.75468,-39.05912073,-12.4653555
3,5,AKND,120.35726,22.80331,-39.52516519,-9.708311723
4,20,S104,121.18938,22.82076,-54.07619037,40.89750157
4,13,ERPN,121.16611,22.94217,-53.44494814,39.40301407
4,21,SINL,121.25462,22.90829,-50.17591102,42.10258843
4,9,CHEN,121.37358,23.0974,-53.00952314,43.54251321
4,18,NHSI,121.45301,23.40621,-45.03686564,46.31242525
4,19,PING,121.45434,23.31946,-48.41777113,47.7464076
4,17,KNKO,121.50574,23.47221,-48.46315708,47.12836095
4,14,FENP,121.51942,23.59845,-47.59633835,44.85252028
4,12,DULI,121.33059,23.02566,-48.22394739,43.88041588
4,15,JPIN,121.35889,23.34108,-42.29751152,43.95361781
4,22,TAPO,121.23741,23.12706,-46.58504583,41.214967
4,16,JSUI,121.42389,23.49198,-44.17376358,41.19270095
4,11,DCHU,121.28057,23.21318,-44.48158643,39.21579361
4,23,TUNH,121.30022,23.07516,-44.58868953,40.14783638
4,10,CHUN,121.3931,23.45285,-45.2316975,39.87710548
5,39,SGAN,120.34965,22.58127,-46.12690447,-19.29530212
5,38,LIUC,120.36907,22.34667,-52.26222622,-26.28516142
5,37,BANP,120.3054,22.69313,-48.91790053,-25.14038599
6,55,LIKN,120.5279,22.75861,-58.2208029,-5.708599636
6,63,YENC,120.37615,22.76351,-54.61517114,-10.41840109
6,58,PTUN,120.45968,22.64985,-56.66095416,-9.787046202
6,41,DONA,120.70351,22.91562,-54.57871228,1.524521474
6,53,LAOL,120.68729,22.41192,-53.97894621,1.507768491
6,51,JLUT,120.62278,22.32996,-53.67906318,1.499391999
6,42,GS45,120.728,22.7525,-57.23638984,2.699199626
6,61,SAND,120.64064,22.71727,-57.8956789,0.707364348
6,43,GS46,120.6395,22.5297,-57.08295507,1.395077373
6,40,CLON,120.5796,22.43005,-55.99923237,-0.293213975
6,60,S23R,120.60617,22.64498,-55.29924196,0.2895488
6,47,GS55,120.60224,22.85069,-56.09581324,0.685373747
6,52,KASU,120.63298,22.81019,-57.98268641,-1.417066333
6,57,NJOU,120.57141,22.50389,-57.19294338,-0.89845855
6,48,GS56,120.60173,22.70388,-57.29572368,-0.700034148
6,46,GS54,120.45209,22.8371,-53.61131583,-4.501867971
6,62,WDAN,120.50431,22.60606,-52.43732221,-2.564612914
6,56,MLO1,120.554,22.9,-50.7567233,-3.816417195
6,50,HENC,120.74645,22.00393,-51.67984295,1.443548722
6,45,GS52,120.65472,23.03402,-50.09511645,0.699505235
6,54,LGUE,120.63538,22.9929,-50.49807711,-0.440690043
6,49,GS59,120.70439,22.0574,-49.29812281,-0.4302182
6,59,S169,120.50331,22.94229,-46.49745038,-0.486937961
6,44,GS51,120.54006,23.00022,-47.61603979,-2.82891402
7,199,ZEND,120.21756,22.94327,-13.40503436,-1.598453572
7,120,GS44,120.4004,23.2222,-15.27903188,0.800740131
7,160,S106,120.33409,23.05079,-16.71436809,-2.497979048
7,111,GS31,120.27588,23.01875,-15.84653445,-1.302822287
7,89,GS06,120.55422,23.46561,-15.20017301,3.509236448
7,64,8118,120.55298,23.46298,-15.12899812,4.195642504
7,131,JONP,120.524,23.42297,-13.7182377,4.696802564
7,184,W021,120.54951,23.53568,-12.4819572,4.592466047
7,164,SCHN,121.65159,24.12779,-13.04029499,4.515607006
7,88,GS05,120.5684,23.56711,-13.14731953,4.811235724
7,167,SJPU,120.48126,23.42854,-11.71558297,3.403691494
7,156,S016,120.80286,24.17955,-12.54521443,3.408459322
7,154,RENI,120.50857,23.45894,-12.82861367,3.509511565
7,147,PEI1,120.169,23.294,-5.512991243,-1.801923292
7,140,NANK,120.27439,23.10199,-5.869796182,-0.596232153
7,108,GS28,120.21358,23.07986,-5.4,-9.92E-16
7,190,WUST,120.36817,23.20524,-11.0350757,1.198792848
7,109,GS29,120.31755,23.07537,-10.06886507,-0.792436867
7,112,GS33,120.18695,22.96369,-10.69802812,-0.205412634
7,110,GS30,120.22612,23.02032,-11.4,-2.10E-15
7,159,S103,120.47519,23.56437,-6.768570536,3.876396896
7,87,GS04,120.50679,23.59152,-5.88064306,2.996337298
7,186,WFEN,120.69947,24.04194,-6.392263277,3.090140806
7,188,WUFN,120.69939,24.04278,-6.520969308,2.808373068
7,134,KZN1,120.69798,23.94625,-6.356179298,2.684955256
7,174,SUCH,120.90758,24.29107,-6.689172914,1.692620963
7,123,GS68,120.4877,23.6071,-7.573500325,1.389997418
7,155,S011,120.33945,23.20542,-8.440206819,1.006433731
7,183,TUNS,120.40404,23.31724,-7.874408223,2.28772707
7,171,SSUN,120.37777,23.41415,-8.725008149,2.207766473
7,119,GS43,120.3736,23.2572,-8.285470151,1.897625986
7,125,GUKN,120.58878,23.64586,-7.481510773,5.180443663
7,68,BLOW,121.57124,24.17175,-8.735518282,5.825866488
7,69,CHIA,120.4332,23.49597,-8.69387879,3.30249475
7,118,GS41,120.4449,23.3776,-10.25379516,3.391118524
7,99,GS18,120.47378,23.48498,-10.41814386,3.205039545
7,72,CHNT,121.66189,24.14921,-10.48298027,2.986155484
7,143,NSHE,120.8009,24.22579,-10.49759304,4.695800294
7,81,FNGU,120.72445,24.03516,-9.907702585,5.004740702
7,76,CWEN,120.45276,23.47304,-9.886779756,4.589290366
7,148,PENL,120.97604,24.53884,-5.605218957,7.916534624
7,170,SPAO,121.48486,24.20501,-7.777730077,9.269137762
